dish_id,dish_label,dish_class,dish_family,dish_name,cuisine,course,protein_type,source,label_quality,source_dish_label,original_path,ingredients,image_path
18,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"egg,cream,shrimp,potato,tofu,rice",public_images/food101/apple_pie/food101_apple_pie_000019.jpg
19,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"potato,chicken,cheese,rice,garlic",public_images/food101/apple_pie/food101_apple_pie_000020.jpg
20,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"pasta,fish,avocado",public_images/food101/apple_pie/food101_apple_pie_000021.jpg
21,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"chicken,rice,mushroom,avocado,cheese,fish",public_images/food101/apple_pie/food101_apple_pie_000022.jpg
22,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"mushroom,spice,beef,lamb,avocado",public_images/food101/apple_pie/food101_apple_pie_000023.jpg
23,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"mushroom,chicken,garlic,spinach,beans,chili,avocado",public_images/food101/apple_pie/food101_apple_pie_000024.jpg
24,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"tomato,chili,egg,cream,mushroom",public_images/food101/apple_pie/food101_apple_pie_000025.jpg
25,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"cream,potato,beef,beans,spinach,rice",public_images/food101/apple_pie/food101_apple_pie_000026.jpg
26,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"rice,mushroom,fish,spice",public_images/food101/apple_pie/food101_apple_pie_000027.jpg
27,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"spice,pasta,shrimp,lamb,tofu,spinach,rice",public_images/food101/apple_pie/food101_apple_pie_000028.jpg
28,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"cheese,tomato,beans,cream,garlic,chicken",public_images/food101/apple_pie/food101_apple_pie_000029.jpg
29,apple_pie,apple_pie,,,Unknown,Dessert,Unknown,food101,dataset_label+heuristic_metadata,,,"potato,tomato,beans,chicken,cream,lamb,garlic",public_images/food101/apple_pie/food101_apple_pie_000030.jpg
30,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"tomato,cream,chili",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000001.jpg
31,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"cream,mushroom,tomato,rice,spinach",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000002.jpg
32,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"potato,beef,spinach,tomato",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000003.jpg
33,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"fish,spice,cheese,potato,egg,avocado",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000004.jpg
34,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"fish,tofu,chili,cheese,potato,spice",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000005.jpg
35,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"cheese,tomato,spice,potato,tofu",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000006.jpg
36,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"fish,avocado,rice,tofu",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000007.jpg
37,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"cream,tofu,potato,cheese",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000008.jpg
38,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"potato,chicken,cream",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000009.jpg
39,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"avocado,fish,spinach,potato",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000010.jpg
40,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"shrimp,chili,avocado,egg",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000011.jpg
41,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"shrimp,rice,tofu",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000012.jpg
42,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"fish,potato,spinach,beef,spice",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000013.jpg
43,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"spice,chili,potato,beans,garlic",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000014.jpg
44,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"chili,beans,spinach",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000015.jpg
45,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"mushroom,avocado,chili,egg,cream,fish,spinach",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000016.jpg
46,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"egg,cream,tomato",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000017.jpg
47,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"cheese,beans,tomato,chili,cream,spice",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000018.jpg
48,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beans,mushroom,garlic,rice,spice,potato,lamb",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000019.jpg
49,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"tomato,rice,shrimp,beef,pasta",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000020.jpg
50,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"garlic,cream,chicken,tofu,cheese,chili",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000021.jpg
51,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"spice,mushroom,rice,beef,lamb,tofu,chili",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000022.jpg
52,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"lamb,pasta,avocado,tofu",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000023.jpg
53,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"pasta,mushroom,chicken,egg,cheese,tofu,cream",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000024.jpg
54,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"cheese,egg,potato,beef,rice",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000025.jpg
55,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"egg,spice,garlic,beans,rice",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000026.jpg
56,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"spinach,rice,chili,cream,fish,egg,beef",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000027.jpg
57,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"chicken,garlic,beef",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000028.jpg
58,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"avocado,tofu,potato,fish,chicken",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000029.jpg
59,baby_back_ribs,baby_back_ribs,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"cream,beef,potato",public_images/food101/baby_back_ribs/food101_baby_back_ribs_000030.jpg
60,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"lamb,beans,potato",public_images/food101/baklava/food101_baklava_000001.jpg
61,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"fish,beef,chili,pasta",public_images/food101/baklava/food101_baklava_000002.jpg
62,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"chili,lamb,spice,tomato,cheese",public_images/food101/baklava/food101_baklava_000003.jpg
63,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"potato,fish,beef,tomato,avocado",public_images/food101/baklava/food101_baklava_000004.jpg
64,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"fish,chicken,avocado,garlic",public_images/food101/baklava/food101_baklava_000005.jpg
65,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"tomato,rice,avocado,cheese,shrimp,fish",public_images/food101/baklava/food101_baklava_000006.jpg
66,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"spinach,tomato,spice",public_images/food101/baklava/food101_baklava_000007.jpg
67,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"lamb,pasta,tomato,potato,chicken,garlic",public_images/food101/baklava/food101_baklava_000008.jpg
68,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"shrimp,garlic,rice,cream",public_images/food101/baklava/food101_baklava_000009.jpg
69,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"lamb,mushroom,shrimp,garlic,chicken",public_images/food101/baklava/food101_baklava_000010.jpg
70,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"rice,avocado,egg",public_images/food101/baklava/food101_baklava_000011.jpg
71,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"cheese,fish,lamb",public_images/food101/baklava/food101_baklava_000012.jpg
72,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"fish,mushroom,cheese,shrimp,spice",public_images/food101/baklava/food101_baklava_000013.jpg
73,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"chili,fish,chicken,mushroom,spice",public_images/food101/baklava/food101_baklava_000014.jpg
74,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"fish,cream,garlic,potato,cheese",public_images/food101/baklava/food101_baklava_000015.jpg
75,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"mushroom,pasta,fish,garlic,shrimp",public_images/food101/baklava/food101_baklava_000016.jpg
76,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"potato,beef,spice,fish,shrimp",public_images/food101/baklava/food101_baklava_000017.jpg
77,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"egg,beans,pasta,shrimp",public_images/food101/baklava/food101_baklava_000018.jpg
78,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"chicken,pasta,beans,spice,fish,shrimp,potato",public_images/food101/baklava/food101_baklava_000019.jpg
79,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"garlic,tofu,beans,potato,spice,rice,tomato",public_images/food101/baklava/food101_baklava_000020.jpg
80,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"cream,pasta,mushroom,garlic",public_images/food101/baklava/food101_baklava_000021.jpg
81,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"tomato,pasta,egg",public_images/food101/baklava/food101_baklava_000022.jpg
82,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"beef,chicken,chili,tomato",public_images/food101/baklava/food101_baklava_000023.jpg
83,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"egg,cream,tofu,fish,spice,lamb",public_images/food101/baklava/food101_baklava_000024.jpg
84,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"spinach,shrimp,tomato,beef,chicken,tofu",public_images/food101/baklava/food101_baklava_000025.jpg
85,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"fish,tomato,avocado",public_images/food101/baklava/food101_baklava_000026.jpg
86,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"tofu,chili,potato,tomato,cheese,mushroom,cream",public_images/food101/baklava/food101_baklava_000027.jpg
87,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"mushroom,potato,garlic,tofu,fish,spinach",public_images/food101/baklava/food101_baklava_000028.jpg
88,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"tofu,avocado,spinach,egg,rice,shrimp,cheese",public_images/food101/baklava/food101_baklava_000029.jpg
89,baklava,baklava,,,Unknown,Main,Unknown,food101,dataset_label+heuristic_metadata,,,"mushroom,spinach,tomato,rice,tofu",public_images/food101/baklava/food101_baklava_000030.jpg
90,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,garlic,rice",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000001.jpg
91,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,lamb,egg,cream,avocado",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000002.jpg
92,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,rice,fish,avocado",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000003.jpg
93,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,cream,tofu,beans",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000004.jpg
94,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,beans,spinach,tofu,chili",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000005.jpg
95,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,tofu,fish,chicken",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000006.jpg
96,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,fish,mushroom,chicken,shrimp,avocado,egg",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000007.jpg
97,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,tofu,beans,rice,mushroom,cheese",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000008.jpg
98,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,tofu,mushroom,chicken,fish",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000009.jpg
99,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,fish,spice,spinach,avocado",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000010.jpg
100,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,beans,chicken,fish,egg,chili,lamb",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000011.jpg
101,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,avocado,spinach,spice,chili,egg",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000012.jpg
102,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,lamb,tomato,spinach,egg,spice",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000013.jpg
103,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,pasta,tofu,egg,cream,rice",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000014.jpg
104,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,beans,chili",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000015.jpg
105,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,rice,cream,chili,chicken",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000016.jpg
106,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,tomato,chicken,avocado",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000017.jpg
107,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,avocado,mushroom,cheese",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000018.jpg
108,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,tomato,spinach,pasta,shrimp,cream,garlic",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000019.jpg
109,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,cheese,spice,garlic,egg,potato,chicken",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000020.jpg
110,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,egg,fish,beans,tomato",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000021.jpg
111,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,egg,rice",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000022.jpg
112,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,garlic,cheese",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000023.jpg
113,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,chili,shrimp,tofu,beans,egg,pasta",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000024.jpg
114,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,chicken,tofu,mushroom,cheese",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000025.jpg
115,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,shrimp,spinach,avocado,tofu,cream",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000026.jpg
116,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,pasta,beans,mushroom,spinach,tomato,tofu",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000027.jpg
117,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,pasta,lamb,rice,cream,avocado,potato",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000028.jpg
118,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,spinach,fish,lamb",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000029.jpg
119,beef_carpaccio,beef_carpaccio,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,mushroom,lamb",public_images/food101/beef_carpaccio/food101_beef_carpaccio_000030.jpg
120,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,mushroom,tomato,shrimp",public_images/food101/beef_tartare/food101_beef_tartare_000001.jpg
121,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,lamb,pasta,beans,chicken",public_images/food101/beef_tartare/food101_beef_tartare_000002.jpg
122,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,tomato,cream,rice,tofu,potato,pasta",public_images/food101/beef_tartare/food101_beef_tartare_000003.jpg
123,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,mushroom,egg,spinach",public_images/food101/beef_tartare/food101_beef_tartare_000004.jpg
124,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,cream,garlic",public_images/food101/beef_tartare/food101_beef_tartare_000005.jpg
125,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,fish,rice,garlic",public_images/food101/beef_tartare/food101_beef_tartare_000006.jpg
126,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,shrimp,mushroom,potato,egg,tomato,beans",public_images/food101/beef_tartare/food101_beef_tartare_000007.jpg
127,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,lamb,shrimp,spinach,pasta,avocado,potato",public_images/food101/beef_tartare/food101_beef_tartare_000008.jpg
128,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,cheese,tomato,lamb",public_images/food101/beef_tartare/food101_beef_tartare_000009.jpg
129,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,beans,spice",public_images/food101/beef_tartare/food101_beef_tartare_000010.jpg
130,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,tomato,mushroom,pasta",public_images/food101/beef_tartare/food101_beef_tartare_000011.jpg
131,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,potato,garlic,cheese,tomato,avocado,egg",public_images/food101/beef_tartare/food101_beef_tartare_000012.jpg
132,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,spice,garlic,chicken,avocado",public_images/food101/beef_tartare/food101_beef_tartare_000013.jpg
133,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,chili,egg,garlic,avocado",public_images/food101/beef_tartare/food101_beef_tartare_000014.jpg
134,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,cheese,chicken,garlic,mushroom,rice",public_images/food101/beef_tartare/food101_beef_tartare_000015.jpg
135,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,lamb,spice,chili,pasta,tofu",public_images/food101/beef_tartare/food101_beef_tartare_000016.jpg
136,beef_tartare,beef_tartare,,,Unknown,Main,Meat,food101,dataset_label+heuristic_metadata,,,"beef,cheese,cream,fish,mushroom,chili",public_images/food101/beef_tartare/food101_beef_tartare_000017.jpg
